STATION,DATE,PRCP,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094846,2016-06-08,0,61,,,,,,,,,
USW00094846,2016-06-09,0.21,61,1,,1,,,,,,
USW00094846,2016-06-10,0.1,74,1,,1,,,,,,
USW00094846,2016-06-11,0,82,,,,,,,,,
USW00094846,2016-06-12,0,71,,,,,,,,,
USW00094846,2016-06-13,0.02,68,,,,,,,,,
USW00094846,2016-06-14,0,74,,,,,,,1,,
USW00094846,2016-06-15,0.3,78,1,,1,,,,,,
USW00094846,2016-06-16,0,74,,,,,,,,,
USW00094846,2016-06-17,0,71,,,,,,,,,
USW00094846,2016-06-18,0,74,,,,,,,,,
USW00094846,2016-06-19,0,78,,,,,,,,,
USW00094846,2016-06-20,0,83,,,,,,,,,
USW00094846,2016-06-21,0,76,,,,,,,1,,
USW00094846,2016-06-22,1.31,72,1,1,1,,,,,,
USW00094846,2016-06-23,0,70,1,,,,,,1,,
USW00094846,2016-06-24,0,71,,,,,,,,,
USW00094846,2016-06-25,0,77,,,,,,,,,
USW00094846,2016-06-26,0.03,81,1,,,,,,,,
USW00094846,2016-06-27,0,80,,,,,,,,,
USW00094846,2016-06-28,0,68,,,,,,,,,
USW00094846,2016-06-29,0,67,,,,,,,,,
USW00094846,2016-06-30,0,69,,,,,,,,,
USW00094846,2016-07-01,0,69,,,,,,,,,
USW00094846,2016-07-02,0,65,,,,,,,,,
USW00094846,2016-07-03,0,68,,,,,,,,,
USW00094846,2016-07-04,0,71,1,,,,,,1,,
USW00094846,2016-07-05,0,76,1,,,,,,,,
USW00094846,2016-07-06,0.87,77,1,,1,,,,1,,
USW00094846,2016-07-07,1.05,77,1,1,,,,,,,
USW00094846,2016-07-08,0,76,1,1,,,,,,,
USW00094846,2016-07-09,0,73,,,,,,,,,
USW00094846,2016-07-10,0,72,,,,,,,,,
USW00094846,2016-07-11,0,78,,,,,,,,,
USW00094846,2016-07-12,0,81,,,,,,,,,
USW00094846,2016-07-13,0.06,78,,,1,,,,,,
USW00094846,2016-07-14,0,76,,,,,,,,,
USW00094846,2016-07-15,0.14,71,1,,,,,,,,
USW00094846,2016-07-16,0,67,,,,,,,,,
USW00094846,2016-07-17,0.25,71,1,,1,,,,,,
USW00094846,2016-07-18,0,79,,,,,,,,,
USW00094846,2016-07-19,0,79,,,,,,,,,
USW00094846,2016-07-20,0,79,,,,,,,1,,
USW00094846,2016-07-21,1.03,81,1,,1,,,,,,
USW00094846,2016-07-22,0.01,79,,,,,,,,,
USW00094846,2016-07-23,1.11,85,1,,1,,,,,,
USW00094846,2016-07-24,0.94,78,,,1,,,,,,
USW00094846,2016-07-25,0,79,,,,,,,,,
USW00094846,2016-07-26,0,79,,,,,,,,,
USW00094846,2016-07-27,0,79,1,,,,,,,,
USW00094846,2016-07-28,0.66,77,1,,1,,,,1,,
USW00094846,2016-07-29,0.11,73,1,,1,,,,,,
USW00094846,2016-07-30,0,72,,,,,,,,,
USW00094846,2016-07-31,0,73,,,,,,,,,
USW00094846,2016-08-01,0,75,,,,,,,,,
USW00094846,2016-08-02,0,77,,,,,,,,,
USW00094846,2016-08-03,0,80,,,,,,,,,
USW00094846,2016-08-04,0.02,81,1,,,,,,1,,
USW00094846,2016-08-05,0,78,,,,,,,,,
USW00094846,2016-08-06,0,76,,,,,,,,,
USW00094846,2016-08-07,0,75,,,,,,,,,
USW00094846,2016-08-08,0,77,,,,,,,,,
USW00094846,2016-08-09,0,78,,,,,,,,,
USW00094846,2016-08-10,0,80,,,,,,,1,,
USW00094846,2016-08-11,0,82,,,,,,,1,,
USW00094846,2016-08-12,0.96,80,1,,1,,,,,,
USW00094846,2016-08-13,0,77,1,,,,,,,,
USW00094846,2016-08-14,0,77,,,,,,,,,
USW00094846,2016-08-15,0,74,1,,,,,,,,
USW00094846,2016-08-16,0.02,76,1,,,,,,,,
USW00094846,2016-08-17,0.05,77,,,1,,,,,,
USW00094846,2016-08-18,0.75,77,1,,1,,,,,,
USW00094846,2016-08-19,0.07,75,1,,1,,,,,,
USW00094846,2016-08-20,0.47,75,1,,1,,,,,,
USW00094846,2016-08-21,0,66,,,,,,,,,
USW00094846,2016-08-22,0,67,,,,,,,,,
USW00094846,2016-08-23,0,71,,,,,,,,,
USW00094846,2016-08-24,0.23,75,1,,1,,,,,,
USW00094846,2016-08-25,0.09,76,1,,1,,,,,,
USW00094846,2016-08-26,0.14,72,1,,1,,,,,,
USW00094846,2016-08-27,0.84,74,1,,,,,,,,
USW00094846,2016-08-28,0,77,,,1,,,,,,
USW00094846,2016-08-29,0.43,76,1,,1,,,,,,
USW00094846,2016-08-30,0.19,76,1,,1,,,,,,
USW00094846,2016-08-31,0,73,,,,,,,,,
USW00094846,2016-09-01,0,67,,,,,,,,,
USW00094846,2016-09-02,0,68,,,,,,,,,
USW00094846,2016-09-03,0,68,,,,,,,,,
USW00094846,2016-09-04,0,69,,,,,,,,,
USW00094846,2016-09-05,0,73,,,,,,,,,
USW00094846,2016-09-06,0,82,,,,,,,,,
USW00094846,2016-09-07,0.39,83,1,,1,,,,,,
USW00094846,2016-09-08,0.05,76,,,,,,,,,
USW00094846,2016-09-09,0,74,,,,,,,,,
USW00094846,2016-09-10,0.01,69,1,,,,,,,,
USW00094846,2016-09-11,0,65,,,,,,,,,
USW00094846,2016-09-12,0,67,,,,,,,,,
USW00094846,2016-09-13,0,72,,,,,,,,,
USW00094846,2016-09-14,0.09,69,1,,,,,,,,
USW00094846,2016-09-15,0,68,,,,,,,,,
USW00094846,2016-09-16,0.01,72,1,,,,,,,,
USW00094846,2016-09-17,0.04,74,1,,,,,,,,
USW00094846,2016-09-18,0,69,,,,,,,,,
USW00094846,2016-09-19,0,71,,,,,,,,,
USW00094846,2016-09-20,0,75,,,,,,,,,
USW00094846,2016-09-21,0.55,70,1,,1,,,,1,,
USW00094846,2016-09-22,0,71,1,,,,,,1,,
USW00094846,2016-09-23,0,72,1,,,,,,1,,
USW00094846,2016-09-24,0,69,,,,,,,,,
USW00094846,2016-09-25,0.01,72,,,,,,,,,
USW00094846,2016-09-26,0,66,,,,,,,,,
USW00094846,2016-09-27,0,60,,,,,,,,,
USW00094846,2016-09-28,0.31,56,1,,1,,,,,,
USW00094846,2016-09-29,0.2,61,1,,,,,,,,
USW00094846,2016-09-30,0.1,62,1,,,,,,,,
USW00094846,2016-10-01,0.94,61,1,,1,,,,,,
USW00094846,2016-10-02,0.03,60,1,,,,,,,,
USW00094846,2016-10-03,0,62,,,,,,,,,
USW00094846,2016-10-04,0,65,,,,,,,,,
USW00094846,2016-10-05,0,69,,,,,,,,,
USW00094846,2016-10-06,0.25,66,1,,1,,,,,,
USW00094846,2016-10-07,0,65,,,,,,,,,
USW00094846,2016-10-08,0,52,,,,,,,,,
USW00094846,2016-10-09,0,56,1,,,,,,,,
USW00094846,2016-10-10,0,56,,,,,,,,,
USW00094846,2016-10-11,0,63,,,,,,,,,
USW00094846,2016-10-12,0.14,62,1,,1,,,,,,
USW00094846,2016-10-13,0,48,,,,,,,,,
USW00094846,2016-10-14,0,50,1,,,,,,,,
USW00094846,2016-10-15,0,58,1,,,,,,,,
USW00094846,2016-10-16,0.29,69,1,,1,,,,,,
USW00094846,2016-10-17,0,72,,,,,,,,,
USW00094846,2016-10-18,0,74,,,,,,,,,
USW00094846,2016-10-19,0.02,60,,,,,,,,,
USW00094846,2016-10-20,0,55,,,,,,,,,
USW00094846,2016-10-21,0,48,,,,,,,,,
USW00094846,2016-10-22,0,47,,,,,,,,,
USW00094846,2016-10-23,0,55,1,,,,,,,,
USW00094846,2016-10-24,0,54,,,,,,,,,
USW00094846,2016-10-25,0,46,1,,,,,,,,
USW00094846,2016-10-26,1.6,48,1,,1,,,,,,
USW00094846,2016-10-27,0,48,1,,,,,,,,
USW00094846,2016-10-28,0,49,1,,,,,,,,
USW00094846,2016-10-29,0,66,1,,,,,,1,,
USW00094846,2016-10-30,0.5,54,1,,1,,,,,,
USW00094846,2016-10-31,0,48,,,,,,,,,
USW00094846,2016-11-01,0,65,,,,,,,,,
USW00094846,2016-11-02,0.18,62,1,,1,,,,1,,
USW00094846,2016-11-03,0,56,1,1,,,,,1,,
USW00094846,2016-11-04,0,53,,,,,,,,,
USW00094846,2016-11-05,0,55,,,,,,,,,
USW00094846,2016-11-06,0,56,1,,,,,,,,
USW00094846,2016-11-07,0,54,1,,,,,,,,
USW00094846,2016-11-08,0.03,56,1,,,,,,,,
USW00094846,2016-11-09,0,49,,,,,,,,,
USW00094846,2016-11-10,0,49,,,,,,,,,
USW00094846,2016-11-11,0,50,,,,,,,,,
USW00094846,2016-11-12,0,42,,,,,,,,,
USW00094846,2016-11-13,0,45,,,,,,,,,
USW00094846,2016-11-14,0,48,1,,,,,,,,
USW00094846,2016-11-15,0,46,1,1,,,,,1,,
USW00094846,2016-11-16,0,48,1,,,,,,1,,
USW00094846,2016-11-17,0,55,1,,,,,,,,
USW00094846,2016-11-18,0.2,62,1,,1,,,,,,
USW00094846,2016-11-19,0.01,38,,,,,,,,,
USW00094846,2016-11-20,0,29,,,,,,,,,
USW00094846,2016-11-21,0,30,,,,,,,,,
USW00094846,2016-11-22,0.02,33,,,,,,,,,
USW00094846,2016-11-23,0.21,40,1,,,,,,,,
USW00094846,2016-11-24,0,40,1,,,,,,,,
USW00094846,2016-11-25,0,37,1,,,,,,,,
USW00094846,2016-11-26,0,38,1,,,,,,,,
USW00094846,2016-11-27,0.05,38,1,,,,,,,,
USW00094846,2016-11-28,0.99,44,1,,,,,,,,
USW00094846,2016-11-29,0,50,,,,,,,,,
USW00094846,2016-11-30,0,41,,,,,,,,,
USW00094846,2016-12-01,0,38,,,,,,,,,
USW00094846,2016-12-02,0,37,,,,,,,,,
USW00094846,2016-12-03,0,33,,,,,,,,,
USW00094846,2016-12-04,0.5,31,1,1,,,,,1,,
USW00094846,2016-12-05,0,32,1,,,,,,,,
USW00094846,2016-12-06,0,33,1,1,,,,,1,,
USW00094846,2016-12-07,0,26,,,,,,,,,
USW00094846,2016-12-08,0.01,21,,,,,,,,,
USW00094846,2016-12-09,0,23,,,,,,,,,
USW00094846,2016-12-10,0.12,20,1,,,,,,,,
USW00094846,2016-12-11,0.44,26,1,,,,,,1,,
USW00094846,2016-12-12,0,25,1,,,,,,1,,
USW00094846,2016-12-13,0,15,1,,,,,,1,,
USW00094846,2016-12-14,0,10,,,,,,,,,
USW00094846,2016-12-15,0,4,,,,,,,,,
USW00094846,2016-12-16,0.13,12,1,,,,,1,,,
USW00094846,2016-12-17,0.12,20,1,,,1,,1,1,,
USW00094846,2016-12-18,0.03,11,1,,,,,,,,
USW00094846,2016-12-19,0,-1,,,,,,,1,,
USW00094846,2016-12-20,0,20,,,,,,,,,
USW00094846,2016-12-21,0,26,,,,,,,,,
USW00094846,2016-12-22,0,34,,,,,,,,,
USW00094846,2016-12-23,0.1,31,1,,,,,,1,,
USW00094846,2016-12-24,0,35,1,,,,,,1,,
USW00094846,2016-12-25,0.09,33,1,1,,,,,,,
USW00094846,2016-12-26,0.23,45,1,1,,,,,,,
USW00094846,2016-12-27,0,28,,,,,,,,,
USW00094846,2016-12-28,0,30,,,,,,,,,
USW00094846,2016-12-29,0,34,,,,,,,,,
USW00094846,2016-12-30,0,29,,,,,,,,,
USW00094846,2016-12-31,0,35,,,,,,,,,
USW00094846,2017-01-01,0,27,1,,,,,,,,
USW00094846,2017-01-02,0.11,34,1,,,,,,1,,
USW00094846,2017-01-03,0,38,1,1,,,,,,,
USW00094846,2017-01-04,0,18,,,,,,,,,
USW00094846,2017-01-05,0,9,,,,,,,,,
USW00094846,2017-01-06,0,4,,,,,,,,,
USW00094846,2017-01-07,0,6,,,,,,,,,
USW00094846,2017-01-08,0,9,,,,,,,,,
USW00094846,2017-01-09,0.02,22,1,,,,,,,,
USW00094846,2017-01-10,0.2,38,1,,,,,,1,,
USW00094846,2017-01-11,0.33,32,1,1,1,,,,,,
USW00094846,2017-01-12,0.05,26,1,,,1,,1,,,
USW00094846,2017-01-13,0,20,,,,,,,,,
USW00094846,2017-01-14,0,29,1,,,,,,,,
USW00094846,2017-01-15,0,26,1,,,,,,1,,
USW00094846,2017-01-16,0.9,33,1,,,1,,1,1,,
USW00094846,2017-01-17,0.48,37,1,,1,,,,,,
USW00094846,2017-01-18,0,35,1,,,,,,,,
USW00094846,2017-01-19,0.46,36,1,,,,,,1,,
USW00094846,2017-01-20,0.18,39,1,1,,,,,,,
USW00094846,2017-01-21,0,48,1,1,,,,,,,
USW00094846,2017-01-22,0.01,43,1,1,,,,,,,
USW00094846,2017-01-23,0,39,1,,,,,,,,
USW00094846,2017-01-24,0,37,1,,,,,,1,,
USW00094846,2017-01-25,0.09,37,1,,,,,,1,,
USW00094846,2017-01-26,0,33,1,,,,,,,,
